AUTHOR_KEY,AUTHOR_NAME,AUTHOR_AUX,AUTHOR_BIBTEX,AUTHOR_ORCID
books/eyrolles/Amini13,Massih-Reza Amini,,,
books/eyrolles/Amini13,Éric Gaussier,,,
books/ph/Meyer78,Bertrand Meyer,,,
books/ph/Meyer78,Claude Baudoin,,,
books/eyrolles/Meyer84,Bertrand Meyer,,,
books/eyrolles/Meyer84,Claude Baudoin,,,
books/eyrolles/Amini15,Massih-Reza Amini,,,
books/ox/CrochemoreR94,Maxime Crochemore,,,
books/ox/CrochemoreR94,Wojciech Rytter,,,
books/ws/EspinosaW11,Angela Espinosa,,,
books/ws/EspinosaW11,Jon Walker,,,
books/ws/Tan10,Cher Ming Tan,,,
