CDROM_KEY,CDROM_NAME
conf/icde/Ramakrishna88,ICDE88/P362.pdf
conf/icde/TuzhilinK89,ICDE89/P434.pdf
conf/icde/PangLO91,ICDE91/P326.pdf
conf/icde/CheineyL92,ICDE92/P385.pdf
conf/icde/HaasS95,ICDE95/P522.pdf
conf/icde/CornellY87,ICDE87/P030.pdf
conf/icde/Graefe89,ICDE89/P094.pdf
conf/icde/CasasS89,ICDE89/P463.pdf
conf/icde/Udagawa91,ICDE91/P070.pdf
conf/icde/HoutsmaAS93,ICDE93/P447.pdf
conf/icde/PrellS84,ICDE84/P270.pdf
conf/icde/DeFazio99,DiSC2_1/out/papers/icde/00710166.pdf
conf/icde/CarlisM84,ICDE84/P253.pdf
conf/icde/UrbanD87,ICDE87/P485.pdf
conf/icde/BadrinathR87,ICDE87/P304.pdf
conf/icde/ManninoE84,ICDE84/P418.pdf
conf/icde/OyangLWC95,ICDE95/P457.pdf
conf/icde/TanakaNHN91,ICDE91/P456.pdf
conf/icde/ReinwaldPKLTV99,DiSC2_1/out/papers/icde/00710366.pdf
conf/icde/VrbskyL91,ICDE91/P472.pdf
conf/icde/Kellogg84,ICDE84/P467.pdf
conf/icde/McAuliffeS95,ICDE95/P052.pdf
conf/icde/TzerasP99,DiSC2_1/out/papers/icde/00710100.pdf
conf/icde/MannilaR86,ICDE86/P713.pdf
conf/icde/WuYT94,ICDE94/P418.pdf
conf/icde/BakerM99,DiSC2_1/out/papers/icde/00710096.pdf
conf/icde/LitwinL86,ICDE86/P038.pdf
conf/icde/FaloutsosR91,ICDE91/P152.pdf
conf/icde/ShengW92,ICDE92/P098.pdf
conf/icde/AtzeniMMMT97,ICDE97/P576.pdf
conf/icde/BhargavaGI96,ICDE96/P441.pdf
conf/icde/Ramarao87,ICDE87/P405.pdf
conf/icde/MorsiNK92,ICDE92/P150.pdf
conf/icde/GoldsteinRS98,ICDE98/P370.pdf
conf/icde/BlankenIMA90,ICDE90/P380.pdf
conf/icde/HanDY99,DiSC2_1/out/papers/icde/00710106.pdf
conf/icde/Leymann98,ICDE98/P254.pdf
conf/icde/CaiTO97,ICDE97/P114.pdf
conf/icde/HuaS93,ICDE93/P549.pdf
conf/icde/Greene89,ICDE89/P606.pdf
conf/icde/GroskyM92,ICDE92/P146.pdf
conf/icde/ShethMNPS96,ICDE96/P308.pdf
conf/icde/OrlandoRS84,ICDE84/P562.pdf
conf/icde/PuNP86,ICDE86/P175.pdf
conf/icde/JiangC84,ICDE84/P526.pdf
conf/icde/Garcia-MolinaKS98,ICDE98/P182.pdf
conf/icde/SinnwellW97,ICDE97/P532.pdf
conf/icde/Gevarter87,ICDE87/P277.pdf
conf/icde/RabinovichBGLMM98,ICDE98/P074.pdf
conf/icde/WhangB88,ICDE88/P126.pdf
conf/icde/Hsiao87,ICDE87/P026.pdf
conf/icde/Morzy93,ICDE93/P595.pdf
conf/icde/ZhuSI99,DiSC2_1/out/papers/icde/00710636.pdf
conf/icde/KiferL87,ICDE87/P375.pdf
conf/icde/NirenburgA84,ICDE84/P446.pdf
conf/icde/NikhilH91,ICDE91/P660.pdf
conf/icde/BrinkhoffKS96,ICDE96/P258.pdf
conf/icde/BellLM89,ICDE89/P076.pdf
conf/icde/EhlmannR97,ICDE97/P412.pdf
conf/icde/AhujaB87,ICDE87/P312.pdf
conf/icde/LuH92,ICDE92/P284.pdf
conf/icde/FernandezS98,ICDE98/P014.pdf
