PUBLISHER_KEY,PUBLISHER_NAME,PUBLISHER_HREF
books/mk/DittrichG00,Morgan Kaufmann,
books/mk/YuM97,Morgan Kaufmann,
books/mk/Elmagarmid92,Morgan Kaufmann,db/publishers/mkp.html
books/mk/Giampaolo99,Morgan Kaufmann,db/publishers/mkp.html
books/mk/ZdonikM90,Morgan Kaufmann,db/publishers/mkp.html
books/mk/Herlihy2013,Morgan Kaufmann,
books/mk/CooperT2004,Morgan Kaufmann,
books/mk/JacobNW2008,Morgan Kaufmann,
books/mk/SchillerV2004,Morgan Kaufmann,
books/mk/Walther87,Pitman / Morgan Kaufmann,
books/mk/Hackathorn98,Morgan Kaufmann,
books/mk/Feiler99,Morgan Kaufmann,
books/mk/Muchnick1997,Morgan Kaufmann,db/publishers/mkp.html
books/mk/Celko99a,Morgan Kaufmann,
books/mk/Muller99,Morgan Kaufmann,
books/mk/Cattell94,Morgan Kaufmann,db/publishers/mkp.html
books/mk/Snodgrass99,Morgan Kaufmann,db/publishers/mkp.html
books/mk/Simon95,Morgan Kaufmann,
books/mt/NelsonG1996,M&T Books,
books/emf/Mokhov03,Editions Marie-France Canada,
books/av/muller14,Der Andere Verlag Uelvesbüll Germany,
books/shaker/Klasing96,Verlag Shaker Aachen,
books/shaker/Moerkotte95,Verlag Shaker Aachen,
books/csli/Brewka97,CSLI Publications Stanford CA,
books/csli/Uszkoreit87,CSLI Publications Stanford CA,
books/csli/Shieber86,CSLI Publications Stanford CA,
books/ms/Geiger95,Microsoft Press,
books/ms/Rogerson97,Microsoft Press,
books/ms/4paradigm09,Microsoft Research,
books/bc/KumarGGK94,Benjamin/Cummings,
books/bc/ElmasriN94,Benjamin/Cummings,
books/bc/MaierW88,Benjamin/Cummings,
books/bc/ElmasriN89,Benjamin/Cummings,
books/bc/AtzeniA93,Benjamin/Cummings,
books/bc/TanselCGJSS93,Benjamin/Cummings,
books/bc/FischerL1991,Benjamin/Cummings,
books/bc/Booch90,Benjamin/Cummings,
books/bc/BatiniCN92,Benjamin/Cummings,
books/el/Borger1989,North-Holland,
books/el/RSS2015,Morgan Kaufmann/Elsevier,
books/el/YoungC74,Elsevier,
books/el/TaaliaTM2015,Elsevier,
books/el/Ceri83,North-Holland,
books/el/LennerstadL03,Elsevier,
books/el/17/012809764,Morgan Kaufmann,
books/el/Nivat92,North-Holland,
books/el/KC2015,Elsevier,
books/el/Alba85,North-Holland,
books/el/RobinsonV01,Elsevier and MIT Press,
books/el/Leeuwen90,Elsevier and MIT Press,
books/el/Leeuwen90a,Elsevier and MIT Press,
books/el/Kent1978,North-Holland,
books/ph/Wilkinson98,Pearson Education,
books/ph/PittmanP1992,Prentice-Hall,
books/ph/TeoreyF82,Prentice-Hall,
books/ph/Meyer94,Prentice-Hall,db/publishers/ph.html
books/ph/PapadimitriouS82,Prentice-Hall,
books/ph/Yao85,Prentice-Hall,
books/ph/Shasha92,Prentice-Hall,
books/ph/Meyer95,Prentice-Hall,db/publishers/ph.html
books/ph/Meyer97,Prentice-Hall,db/publishers/ph.html
books/ph/Backhouse1979,Prentice-Hall,
books/ph/FrakesB92,Prentice-Hall,
books/ph/OzsuV99,Prentice-Hall,
books/ph/Jones87,Prentice-Hall,db/publishers/ph.html
books/ph/KernighanR88,Prentice-Hall,db/publishers/ph.html
books/ph/GroskyJM97,Prentice-Hall,db/publishers/ph.html
books/ph/RumbaughBPEL91,Prentice-Hall,
books/ph/LewisP81,Prentice-Hall,db/publishers/ph.html
books/ph/Dijkstra76,Prentice-Hall,
books/ph/OzsuV91,Prentice-Hall,
books/ph/Tanenbaum92,Prentice-Hall,db/publishers/ph.html
books/ph/CardenasM90,Prentice-Hall,
books/ph/Tanenbaum81,Prentice-Hall,db/publishers/ph.html
books/ph/Hoare85,Prentice-Hall,db/publishers/ph.html
books/ph/Meyer94a,Prentice-Hall,db/publishers/ph.html
books/ph/Topley00,Prentice-Hall,db/publishers/ph.html
books/ph/BukhresE96,Prentice-Hall,db/publishers/ph.html
books/ph/Meyer01,Prentice-Hall,db/publishers/ph.html
books/ph/WelshH1986,Prentice-Hall,
books/ph/DeitelDS01,Prentice-Hall,
books/ph/BestR85,Prentice-Hall,db/publishers/ph.html
books/ph/Meyer91,Prentice-Hall,db/publishers/ph.html
books/ph/Geary99,Prentice-Hall,db/publishers/ph.html
books/ph/KemperM94,Prentice-Hall,db/publishers/ph.html
books/ph/CoffmanD73,Prentice-Hall,
books/ph/JainD88,Prentice-Hall,db/publishers/ph.html
books/ph/Lightstone2000,Prentice Hall,
books/ph/Dunham02,Prentice-Hall,db/publishers/ph.html
books/ph/KernighanR78,Prentice-Hall,db/publishers/ph.html
books/ph/Hansen1985,Prentice-Hall,
books/ph/Garcia-MolinaUW99,Prentice-Hall,db/publishers/ph.html
books/ph/LoomisC97,Prentice-Hall,db/publishers/ph.html
books/ph/Bach86,Prentice-Hall,db/publishers/ph.html
books/ph/Comer00,Prentice-Hall,
books/ph/Salzberg88,Prentice-Hall,db/publishers/ph.html
books/ph/MeyerN93,Prentice-Hall,db/publishers/ph.html
books/ph/BattistaETT99,Prentice-Hall,
books/ph/Tomlin90,Prentice-Hall,
books/ph/Meyer90,Prentice-Hall,db/publishers/ph.html
books/ph/Meyer88,Prentice-Hall,db/publishers/ph.html
books/ph/WaldenN94,Prentice-Hall,db/publishers/ph.html
books/ph/UllmanW97,Prentice-Hall,db/publishers/ph.html
books/ph/WakemanJ93,Prentice-Hall,db/publishers/ph.html
books/harper/Gallier86,Harper & Row,
books/harper/WaiteC1993,HarperCollins,
books/kl/Bertino97,Kluwer,
books/kl/Snodgrass95,Kluwer,
books/kl/Rosenblum95,,
books/kl/Manolopoulos1999,Kluwer,
books/kl/Ortega00,Kluwer,
books/kl/CacaceL96,Kluwer,
books/kl/Xue00,Kluwer,
books/kl/Djeraba02,Kluwer,
books/kl/NetelerM02,Kluwer,
books/kl/MenaI01,Kluwer,
books/kl/ChangHMW01,Kluwer,
books/kl/Ortega01,Kluwer,
books/kl/Franklin96,Kluwer,
books/kl/Cordeschi02,Kluwer,
books/kl/WuXS2003,Kluwer,
books/kl/MoffatT02,Kluwer,
books/kl/WangZL01,Kluwer,
books/kl/JajodiaK97,Kluwer,
books/kl/Manolopoulos2003,Kluwer,
books/kl/ChomickiS98,Kluwer,
books/kl/GuidaLZ99,Kluwer,
books/fischer/Stoll02,Fischer Taschenbuch Verlag,
books/idea/DoornR02,Idea Group,
books/idea/Rossi01,Idea Group,
books/idea/Siau02,Idea Group,
books/idea/Ency05,Idea Group,
books/idea/Siau04,Idea Group,
books/idea/Siau03,Idea Group,
books/idea/EncyDB05,Idea Group,
books/idea/Siau05,Idea Group,
books/idea/irm05,Idea Group,
books/idea/Siau01,Idea Group,
books/idea/Rafanelli03,Idea Group,
books/idea/Becker03,IRM Press,
books/idea/Taniar03,Idea Group,
books/eh/Michalewicz92,Ellis Horwood,
books/eh/AbramskyH87,Ellis Horwood,
books/eh/PembertonD1982,Ellis Horwood,
books/eh/MichieST94,Ellis Horwood,
books/ol/Vossen2008,Oldenbourg,
books/ol/DoberkatD02,Oldenbourg,
books/ol/Kastens1990,Oldenbourg,
books/ol/cscl2004,Oldenbourg,
books/ol/KemperW09,Oldenbourg,
books/ol/AppelrathZ91,Oldenbourg,
books/ol/Lang03,Oldenbourg,
books/ol/DoberkatD99,Oldenbourg,
books/ol/Bruderer2012,Oldenbourg,
books/ol/KemperE04,Oldenbourg,
books/ol/KemperE11,Oldenbourg,
books/ol/Blum01,Oldenbourg,
books/ol/OberschelpV03,Oldenbourg,
books/ol/KemperE01,Oldenbourg,
books/ol/Schoning02,Oldenbourg,
books/ol/Vossen00,Oldenbourg,
books/ol/Schmitt05,Oldenbourg,
books/ol/PernulU01,Oldenbourg,
books/ol/Hedtstuck00,Oldenbourg,
books/ol/Dieterich01,Oldenbourg,
books/ol/KemperE06,Oldenbourg,
books/duv/Schoning93,Deutscher Universitätsverlag,
books/duv/OemigCH1991,Deutscher Universitätsverlag,
books/eyrolles/Amini13,Eyrolles,
books/ph/Meyer78,Eyrolles,
books/eyrolles/Meyer84,Eyrolles,
books/eyrolles/Amini15,Eyrolles,
books/ox/AG1997,Oxford University Press,
books/ox/WangSS99,Oxford University Press,
books/ox/LAI2Hb94,Oxford University Press,
books/ox/CrochemoreR94,Oxford University Press,
books/ws/EspinosaW11,World Scientific,
books/ws/Tan10,World Scientific,
books/ws/MonacoP91,World Scientific,
books/ws/ZouDP08,World Scientific,
books/ws/ChenL10,WorldScientific,
